,zip_code,都,区,町,Prefecture,District,Area,lat,long
125,1006102,東京都,千代田区,永田町　山王パークタワー（２階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(2-KAI),,
126,1006103,東京都,千代田区,永田町　山王パークタワー（３階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(3-KAI),,
127,1006104,東京都,千代田区,永田町　山王パークタワー（４階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(4-KAI),,
128,1006105,東京都,千代田区,永田町　山王パークタワー（５階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(5-KAI),,
129,1006106,東京都,千代田区,永田町　山王パークタワー（６階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(6-KAI),,
130,1006107,東京都,千代田区,永田町　山王パークタワー（７階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(7-KAI),,
131,1006108,東京都,千代田区,永田町　山王パークタワー（８階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(8-KAI),,
132,1006109,東京都,千代田区,永田町　山王パークタワー（９階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(9-KAI),,
133,1006110,東京都,千代田区,永田町　山王パークタワー（１０階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(10-KAI),,
134,1006111,東京都,千代田区,永田町　山王パークタワー（１１階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(11-KAI),,
135,1006112,東京都,千代田区,永田町　山王パークタワー（１２階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(12-KAI),,
136,1006113,東京都,千代田区,永田町　山王パークタワー（１３階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(13-KAI),,
137,1006114,東京都,千代田区,永田町　山王パークタワー（１４階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(14-KAI),,
138,1006115,東京都,千代田区,永田町　山王パークタワー（１５階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(15-KAI),,
139,1006116,東京都,千代田区,永田町　山王パークタワー（１６階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(16-KAI),,
140,1006117,東京都,千代田区,永田町　山王パークタワー（１７階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(17-KAI),,
141,1006118,東京都,千代田区,永田町　山王パークタワー（１８階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(18-KAI),,
142,1006119,東京都,千代田区,永田町　山王パークタワー（１９階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(19-KAI),,
143,1006120,東京都,千代田区,永田町　山王パークタワー（２０階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(20-KAI),,
144,1006121,東京都,千代田区,永田町　山王パークタワー（２１階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(21-KAI),,
145,1006122,東京都,千代田区,永田町　山王パークタワー（２２階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(22-KAI),,
146,1006123,東京都,千代田区,永田町　山王パークタワー（２３階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(23-KAI),,
147,1006124,東京都,千代田区,永田町　山王パークタワー（２４階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(24-KAI),,
148,1006125,東京都,千代田区,永田町　山王パークタワー（２５階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(25-KAI),,
149,1006126,東京都,千代田区,永田町　山王パークタワー（２６階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(26-KAI),,
150,1006127,東京都,千代田区,永田町　山王パークタワー（２７階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(27-KAI),,
151,1006128,東京都,千代田区,永田町　山王パークタワー（２８階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(28-KAI),,
152,1006129,東京都,千代田区,永田町　山王パークタワー（２９階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(29-KAI),,
153,1006130,東京都,千代田区,永田町　山王パークタワー（３０階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(30-KAI),,
154,1006131,東京都,千代田区,永田町　山王パークタワー（３１階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(31-KAI),,
155,1006132,東京都,千代田区,永田町　山王パークタワー（３２階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(32-KAI),,
156,1006133,東京都,千代田区,永田町　山王パークタワー（３３階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(33-KAI),,
157,1006134,東京都,千代田区,永田町　山王パークタワー（３４階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(34-KAI),,
158,1006135,東京都,千代田区,永田町　山王パークタワー（３５階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(35-KAI),,
159,1006136,東京都,千代田区,永田町　山王パークタワー（３６階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(36-KAI),,
160,1006137,東京都,千代田区,永田町　山王パークタワー（３７階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(37-KAI),,
161,1006138,東京都,千代田区,永田町　山王パークタワー（３８階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(38-KAI),,
162,1006139,東京都,千代田区,永田町　山王パークタワー（３９階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(39-KAI),,
163,1006140,東京都,千代田区,永田町　山王パークタワー（４０階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(40-KAI),,
164,1006141,東京都,千代田区,永田町　山王パークタワー（４１階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(41-KAI),,
165,1006142,東京都,千代田区,永田町　山王パークタワー（４２階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(42-KAI),,
166,1006143,東京都,千代田区,永田町　山王パークタワー（４３階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(43-KAI),,
167,1006144,東京都,千代田区,永田町　山王パークタワー（４４階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(44-KAI),,
168,1010065,東京都,千代田区,西神田,TOKYO TO,CHIYODA KU,NISHIKANDA,,
169,1020084,東京都,千代田区,二番町,TOKYO TO,CHIYODA KU,NIBANCHO,,
170,1020092,東京都,千代田区,隼町,TOKYO TO,CHIYODA KU,HAYABUSACHO,,
171,1010031,東京都,千代田区,東神田,TOKYO TO,CHIYODA KU,HIGASHIKANDA,35.6958052,139.7804194
172,1000003,東京都,千代田区,一ツ橋（１丁目）,TOKYO TO,CHIYODA KU,HITOTSUBASHI(1-CHOME),35.6908991,139.7588896
173,1010003,東京都,千代田区,一ツ橋（２丁目）,TOKYO TO,CHIYODA KU,HITOTSUBASHI(2-CHOME),35.6928355,139.7587725
174,1000012,東京都,千代田区,日比谷公園,TOKYO TO,CHIYODA KU,HIBIYAKOEN,,
175,1020093,東京都,千代田区,平河町,TOKYO TO,CHIYODA KU,HIRAKAWACHO,35.6809547,139.740089
176,1020071,東京都,千代田区,富士見,TOKYO TO,CHIYODA KU,FUJIMI,35.6732709,139.8104925
177,1000005,東京都,千代田区,丸の内　（次のビルを除く）,TOKYO TO,CHIYODA KU,MARUNOCHI (TSUGINOBIRUONOZOKU),,
178,1006690,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(CHIK,,
179,1006601,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(1-KA,,
180,1006602,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(2-KA,,
181,1006603,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(3-KA,,
